"idx","trial","block","forced_choice","is_training","param_idx","choice","wins","losses","Arew","Apun","K","betaF","betaP"
"10",94,5,NA,FALSE,164,1,0.25,0,0.110919,0.0206668,0.777979,1.38148,1.28148
"10",95,5,NA,FALSE,164,4,0.102495327719953,0,0.110919,0.0206668,0.777979,1.38148,1.28148
"10",96,5,NA,FALSE,164,1,0.25,0.714708970405627,0.110919,0.0206668,0.777979,1.38148,1.28148
"10",97,5,NA,FALSE,164,2,0.25,0,0.110919,0.0206668,0.777979,1.38148,1.28148
"10",98,5,NA,FALSE,164,2,0.25,0,0.110919,0.0206668,0.777979,1.38148,1.28148
"10",99,5,NA,FALSE,164,2,0.25,0,0.110919,0.0206668,0.777979,1.38148,1.28148
"10",100,5,NA,FALSE,164,4,0.133890910411719,0,0.110919,0.0206668,0.777979,1.38148,1.28148
"100",1,1,NA,FALSE,71,1,0.25,0.891969595022965,0.2314805,0.03337635,0.4458705,5.548315,4.862165
"100",2,1,NA,FALSE,71,1,0.25,0.408817305334378,0.2314805,0.03337635,0.4458705,5.548315,4.862165
"100",3,1,NA,FALSE,71,1,0.25,0,0.2314805,0.03337635,0.4458705,5.548315,4.862165
"100",4,1,NA,FALSE,71,1,0.25,0,0.2314805,0.03337635,0.4458705,5.548315,4.862165
"100",5,1,NA,FALSE,71,1,0.25,0.78062891815789,0.2314805,0.03337635,0.4458705,5.548315,4.862165
"100",6,1,NA,FALSE,71,1,0.25,0.671834539272822,0.2314805,0.03337635,0.4458705,5.548315,4.862165
"100",7,1,NA,FALSE,71,1,0.25,0.782030403870158,0.2314805,0.03337635,0.4458705,5.548315,4.862165
"100",8,1,NA,FALSE,71,2,0.25,0,0.2314805,0.03337635,0.4458705,5.548315,4.862165
"100",9,1,NA,FALSE,71,2,0.25,0,0.2314805,0.03337635,0.4458705,5.548315,4.862165
"100",10,1,NA,FALSE,71,2,0.25,0,0.2314805,0.03337635,0.4458705,5.548315,4.862165
"100",11,1,NA,FALSE,71,2,0.25,0,0.2314805,0.03337635,0.4458705,5.548315,4.862165
"100",12,1,NA,FALSE,71,2,0.25,0,0.2314805,0.03337635,0.4458705,5.548315,4.862165
"100",13,1,NA,FALSE,71,2,0.25,0,0.2314805,0.03337635,0.4458705,5.548315,4.862165
"100",14,1,NA,FALSE,71,2,0.25,0,0.2314805,0.03337635,0.4458705,5.548315,4.862165
"100",15,1,NA,FALSE,71,2,0.25,0,0.2314805,0.03337635,0.4458705,5.548315,4.862165
"100",16,1,NA,FALSE,71,2,0.25,3.05820217489963,0.2314805,0.03337635,0.4458705,5.548315,4.862165
"100",17,1,NA,FALSE,71,2,0.25,0,0.2314805,0.03337635,0.4458705,5.548315,4.862165
"100",18,1,NA,FALSE,71,2,0.25,0,0.2314805,0.03337635,0.4458705,5.548315,4.862165
"100",19,1,NA,FALSE,71,2,0.25,0,0.2314805,0.03337635,0.4458705,5.548315,4.862165
"100",20,1,NA,FALSE,71,2,0.25,0,0.2314805,0.03337635,0.4458705,5.548315,4.862165
"100",21,2,NA,FALSE,71,2,0.25,0,0.2314805,0.03337635,0.4458705,5.548315,4.862165
"100",22,2,NA,FALSE,71,2,0.25,0,0.2314805,0.03337635,0.4458705,5.548315,4.862165
"100",23,2,NA,FALSE,71,2,0.25,0,0.2314805,0.03337635,0.4458705,5.548315,4.862165
"100",24,2,NA,FALSE,71,2,0.25,0,0.2314805,0.03337635,0.4458705,5.548315,4.862165
"100",25,2,NA,FALSE,71,2,0.25,3.17802723846398,0.2314805,0.03337635,0.4458705,5.548315,4.862165
"100",26,2,NA,FALSE,71,2,0.25,0,0.2314805,0.03337635,0.4458705,5.548315,4.862165
"100",27,2,NA,FALSE,71,2,0.25,0,0.2314805,0.03337635,0.4458705,5.548315,4.862165
